"...1","Name","startdato","slutdato","party","partyShortname","sex","born","bloc"
231,"Lars Boje Mathiesen",NA,NA,NA,"NB","m","27535","right"
232,"Samira Nawa",NA,NA,NA,"RV","f","32232","left"
233,"Stinus Lindgreen",NA,NA,NA,"RV","m","29442","left"
234,"Kathrine Olldag","2019-10-01T00:00:00Z",NA,NA,"RV","f","26653","left"
235,"Anne Sophie Callesen","2019-10-01T00:00:00Z",NA,NA,"RV","f","32502","left"
236,"Katrine Robsøe",NA,NA,NA,"RV","f","33410","left"
237,"Tanja Larsson",NA,NA,NA,"S","f","28313","left"
238,"Theresa Berg Andersen",NA,NA,NA,"SF","f","29218","left"
239,"Gitte Willumsen",NA,NA,NA,"KF","f","24515","right"
240,"Susan Kronborg","2022-10-04T00:00:00Z",NA,NA,"RV","f","25024","left"
241,"Maja Torp",NA,NA,NA,"V","f","26850","right"
242,"Kenneth Mikkelsen","2022-06-09T00:00:00Z","2022-06-10T00:00:00Z",NA,"V","m","26157","right"
243,"Anne Rasmussen","2022-09-29T00:00:00Z","2022-09-29T00:00:00Z",NA,"V","f","26037","right"
244,"Christina Thorholm","2022-10-04T00:00:00Z",NA,NA,"RV","f","23600","left"
245,"Kim Aas",NA,NA,NA,"S","m","25734","left"
246,"Maria Gudme","2022-05-17T00:00:00Z",NA,NA,"S","f","32581","left"
247,"Anna Falkenberg",NA,NA,NA,"g_f","f","35068",NA
248,"Nick Zimmermann",NA,NA,NA,"DF","m","34576","right"
249,"Franciska Rosenkilde",NA,NA,NA,"ALT","f","27838","left"
250,"Helene Liliendahl Brydensholt",NA,NA,NA,"ALT","f","31997","left"
251,"Sascha Faxe",NA,NA,NA,"ALT","f","26149","left"
252,"Theresa Scavenius",NA,NA,NA,"ALT","f","30889","left"
253,"Kim Edberg Andersen",NA,NA,NA,"DD","m","26836","right"
254,"Mikkel Bjørn",NA,NA,NA,"DF","m","34991","right"
255,"Lise Bertelsen",NA,NA,NA,"KF","f","27645","right"
256,"Marianne Bigum",NA,NA,NA,"SF","f","30416","left"
257,"Sigurd Agersnap",NA,NA,NA,"SF","m","34030","left"
258,"Sofie Lippert",NA,NA,NA,"SF","f","35053","left"
259,"Fie Hækkerup",NA,NA,NA,"S","f","34540","left"
260,"Thomas Monberg",NA,NA,NA,"S","m","27869","left"
261,"Sara Emil Baaring",NA,NA,NA,"S","f","31696","left"
262,"Normann Andersen",NA,NA,"Socialdemokratiet","S","m","7301","left"
263,"Susanne Eilersen","2019-10-30T00:00:00Z","2019-11-15T00:00:00Z","Dansk Folkeparti","DF","f","23613","right"
264,"Colette L. Brix","2002-10-01T00:00:00Z",NA,NA,"DF","f","18451","right"
265,"Irene Simonsen","2002-10-01T00:00:00Z",NA,NA,"V","f","21549","right"
266,"Anita Knakkergaard","2002-10-01T00:00:00Z",NA,NA,"DF","f","17414","right"
267,"Svend Auken","1994-09-27T00:00:00Z","2001-11-27T00:00:00Z",NA,"S","m","15850","left"
268,"Jens Peter Vernersen","2002-10-01T00:00:00Z",NA,NA,"S","m","17290","left"
269,"Thor Pedersen","1996-10-01T00:00:00Z",NA,NA,"V","m","16602","right"
270,"Høgni Hoydal","2016-10-04T00:00:00Z",NA,NA,"g_f","m","24194",NA
271,"Jens Kirk","1996-10-01T00:00:00Z",NA,NA,"V","m","15376","right"
272,"Søren Gade",NA,NA,NA,"V","m","23038","right"
273,"Anne-Marie Meldgaard","2009-10-07T00:00:00Z",NA,NA,"S","f","17712","left"
274,"Elisabeth Arnold","2005-03-01T00:00:00Z",NA,NA,"RV","f","15269","left"
275,"Henriette Kjær",NA,NA,NA,"KF","f","24230","right"
276,"Anne Grete Holmsgaard","1986-10-07T00:00:00Z",NA,NA,"SF","f","17756","left"
277,"Connie Hedegaard","2005-02-18T00:00:00Z","2007-11-23T00:00:00Z",NA,"KF","f","22174","right"
278,"Thomas Adelskov",NA,NA,NA,"S","m","23553","left"
279,"Christian Wedell-Neergaard","2005-02-22T00:00:00Z",NA,NA,"KF","m","20644","right"
280,"Britta Schall Holberg",NA,NA,NA,"V","f","15182","right"
281,"Gitte Seeberg",NA,NA,NA,"KF","f","22092","right"
282,"Henrik Brodersen","2016-10-04T00:00:00Z",NA,NA,"DF","m","23531","right"
283,"Charlotte Fischer",NA,NA,NA,"RV","f","23195","left"
284,"Kim Mortensen","2007-11-28T00:00:00Z",NA,"Socialdemokratiet","S","m","23379","left"
285,"Johs. Poulsen",NA,NA,NA,"RV","m","20395","left"
286,"Bente Dahl","2010-10-06T00:00:00Z","2011-09-15T00:00:00Z",NA,"RV","f","16901","left"
287,"Tina Petersen","2010-10-06T00:00:00Z","2011-09-15T00:00:00Z",NA,"DF","f","24092","right"
288,"Vibeke Grave",NA,NA,NA,"S","f","21216","left"
289,"Bjørn Medom Nielsen",NA,NA,NA,"S","m","20522","left"
290,"Jørgen S. Lundsgaard",NA,NA,NA,"KF","m","16619","right"
291,"Ib Poulsen","2016-10-04T00:00:00Z",NA,NA,"DF","m","23775","right"
292,"Tage Leegaard","2010-10-06T00:00:00Z","2011-09-15T00:00:00Z",NA,"KF","m","20033","right"
293,"Knud Kristensen","2009-10-07T00:00:00Z","2010-01-07T00:00:00Z",NA,"KF","m","19517","right"
294,"Jørgen Poulsen","2007-11-27T00:00:00Z",NA,NA,"RV","m","15892","left"
295,"Flemming Bonne",NA,NA,"Socialistisk Folkeparti","SF","m","16339","left"
296,"Anne Marie Geisler Andersen",NA,NA,NA,"RV","f","29691","left"
297,"Henrik Rasmussen",NA,NA,NA,"KF","m","26194","right"
298,"Ole Glahn",NA,NA,NA,"RV","m","17244","left"
299,"Ole Vagn Christensen","2002-10-01T00:00:00Z",NA,NA,"S","m","15854","left"
300,"Helge Sander","1996-10-01T00:00:00Z",NA,NA,"V","m","18502","right"
301,"Julie Rademacher",NA,NA,NA,"S","f","30786","left"
302,"Per Bisgaard","2010-10-06T00:00:00Z","2010-10-26T00:00:00Z",NA,"V","m","20301","right"
303,"Per Dalgaard","2002-10-01T00:00:00Z",NA,NA,"DF","m","16119","right"
304,"Per Ørum Jørgensen","2007-11-27T00:00:00Z",NA,NA,"KF","m","25911","right"
305,"Poul Erik Christensen",NA,NA,NA,"RV","m","15839","left"
306,"Poul Henrik Hedeboe",NA,NA,NA,"SF","m","16995","left"
307,"Rasmus Jarlov",NA,NA,NA,"KF","m","28244","right"
308,"René Skau Björnsson","2002-10-01T00:00:00Z",NA,NA,"S","m","24517","left"
309,"Rikke Hvilshøj",NA,NA,"Venstre","V","f","25693","right"
310,"Bendt Bendtsen",NA,NA,NA,"KF","m","19808","right"
311,"Karl H. Bornhøft",NA,NA,NA,"SF","m","18099","left"
312,"Laura Lindahl","2016-10-04T00:00:00Z","2016-12-31T00:00:00Z",NA,"LA","f","30506","right"
313,"Walter Christophersen",NA,NA,NA,"DF","m","18791","right"
314,"Yildiz Akdogan","2016-10-04T00:00:00Z",NA,NA,"S","f","26783","left"
315,"Flemming Hansen","1994-09-21T00:00:00Z",NA,NA,"KF","m","14466","right"
316,"Kamal Qureshi",NA,NA,NA,"SF","m","25778","left"
317,"Ulrik Kragh","2002-10-01T00:00:00Z",NA,NA,"V","m","25582","right"
318,"Torben Lund","1993-01-25T00:00:00Z","1994-09-27T00:00:00Z","Socialdemokratiet","S","m","18573","left"
319,"Kenneth Kristensen Berth","2016-10-04T00:00:00Z",NA,NA,"DF","m","28159","right"
320,"Daniel Rugholm",NA,NA,NA,"KF","m","30192","right"
321,"Per Larsen",NA,NA,NA,"KF","m","23920","right"
322,"Helge Vagn Jacobsen","2015-04-08T00:00:00Z","2015-04-08T00:00:00Z",NA,"RV","m","23189","left"
323,"Frederik Vad",NA,NA,NA,"S","m","34578","left"
324,"Matilde Powers",NA,NA,NA,"S","f","30049","left"
325,"Thomas Skriver Jensen",NA,NA,NA,"S","m","35151","left"
326,"Kris Jensen Skriver",NA,NA,NA,"S","m","32457","left"
327,"Maria Durhuus",NA,NA,NA,"S","f","28393","left"
328,"Helle Bonnesen",NA,NA,"Det Konservative Folkeparti","KF","f","23052","right"
329,"Christina Olumeko",NA,NA,NA,"ALT","f","35395","left"
330,"Linea Søgaard-Lidell",NA,NA,NA,"V","f","31866","right"
331,"Betina Kastbjerg",NA,NA,NA,"DD","f","26262","right"
332,"Susie Jessen",NA,NA,NA,"DD","f","31099","right"
333,"Kenneth Fredslund Petersen",NA,NA,NA,"DD","m","23825","right"
334,"Charlotte Munch",NA,NA,NA,"DD","f","24631","right"
335,"Kristian Bøgsted",NA,NA,NA,"DD","m","30260","right"
336,"Henrik Frandsen",NA,NA,NA,"M","m","22320","right"
337,"Rosa Eriksen",NA,NA,NA,"M","f","32930","right"
338,"Tobias Grotkjær Elmstrøm",NA,NA,NA,"M","m","30144","right"
339,"Monika Rubin",NA,NA,NA,"M","f","32131","right"
340,"Karin Liltorp",NA,NA,NA,"M","f","26425","right"
341,"Mette Kierkgaard",NA,NA,NA,"M","f","26363","right"
342,"Jeppe Søe",NA,NA,"Moderaterne","M","m","25983","right"
343,"Nanna W. Gotfredsen",NA,NA,"Moderaterne","M","f","25273","right"
344,"Charlotte Bagge Hansen",NA,NA,NA,"M","f","25412","right"
345,"Rasmus Lund-Nielsen",NA,NA,NA,"M","m","32437","right"
346,"Jon Stephensen",NA,NA,"Uden for folketingsgrupperne","g_f","m","21908",NA
347,"Peter Have",NA,NA,NA,"M","m","23279","right"
348,"Mike Villa Fonseca",NA,NA,NA,"g_f","m","34820",NA
349,"Sólbjørg Jakobsen",NA,NA,NA,"LA","f","33458","right"
350,"Lars-Christian Brask",NA,NA,NA,"LA","m","23156","right"
351,"Katrine Daugaard",NA,NA,NA,"LA","f","29860","right"
352,"Steffen W. Frølund",NA,NA,NA,"LA","m","30878","right"
353,"Alexander Ryle",NA,NA,NA,"LA","m","33163","right"
354,"Jens Meilvang",NA,NA,NA,"LA","m","29678","right"
355,"Steffen Larsen",NA,NA,NA,"LA","m","30655","right"
356,"Helena Artmann Andresen",NA,NA,NA,"LA","f","37160","right"
357,"Louise Brown",NA,NA,NA,"LA","f","29509","right"
358,"Sandra Elisabeth Skalvig",NA,NA,NA,"LA","f","33155","right"
359,"Mohammad Rona",NA,NA,NA,"M","m","31057","right"
360,"Gunvor Wibroe",NA,NA,NA,"S","m","26354","left"
361,"Dina Raabjerg",NA,NA,NA,"KF","f","25970","right"
362,"Frank Aaen","2022-07-01T00:00:00Z",NA,NA,"EL","m","18834","left"
363,"Nicolai Wammen",NA,NA,NA,"S","m","25971","left"
364,"Sara Olsvig",NA,NA,NA,"g_f","f","28759",NA
365,"Christine Antorini","2016-10-04T00:00:00Z",NA,NA,"S","f","23885","left"
366,"Alex Ahrendtsen",NA,NA,NA,"DF","m","24517","right"
367,"Bjarne Corydon",NA,NA,NA,"S","m","26724","left"
368,"Karsten Lauritzen","2021-04-14T00:00:00Z",NA,NA,"V","m","30603","right"
369,"Henrik Sass Larsen","2018-10-01T00:00:00Z","2019-09-03T00:00:00Z",NA,"S","m","24256","left"
370,"Holger K. Nielsen","1994-09-21T00:00:00Z",NA,NA,"SF","m","18376","left"
371,"Søren Espersen",NA,NA,NA,"DD","m","19560","right"
372,"Astrid Krag",NA,NA,NA,"S","f","30272","left"
373,"Christian Juhl","2022-10-05T00:00:00Z",NA,NA,"EL","m","19414","left"
374,"Pia Olsen Dyhr",NA,NA,NA,"SF","f","26267","left"
375,"Henning Hyllested","2022-03-01T00:00:00Z","2022-11-01T00:00:00Z",NA,"EL","m","19783","left"
376,"Karen Hækkerup",NA,NA,NA,"S","f","27192","left"
377,"Peter Skaarup",NA,NA,NA,"DD","m","23498","right"
378,"Erling Bonnesen",NA,NA,NA,"V","m","20176","right"
379,"Liselott Blixt","2021-10-06T00:00:00Z","2022-02-19T00:00:00Z",NA,"DF","f","23795","right"
380,"Marianne Jelved","2019-10-01T00:00:00Z",NA,NA,"RV","f","15954","left"
381,"Karin Nødgaard","2016-10-04T00:00:00Z",NA,NA,"DF","f","24117","right"
382,"Jakob Engel-Schmidt",NA,NA,NA,"M","m","30613","right"
383,"Rasmus Helveg Petersen","2020-10-07T00:00:00Z",NA,NA,"RV","m","25006","left"
384,"Annette Vilhelmsen","2014-11-08T00:00:00Z",NA,NA,"SF","f","21847","left"
385,"Flemming Damgaard Larsen","2014-10-08T00:00:00Z",NA,NA,"V","m","18697","right"
386,"Nick Hækkerup","2019-10-01T00:00:00Z",NA,NA,"S","m","24931","left"
387,"Nikolaj Villumsen","2016-10-04T00:00:00Z",NA,NA,"EL","m","30375","left"
388,"Pernille Skipper","2019-10-01T00:00:00Z",NA,NA,"EL","f","30873","left"
389,"Martin Henriksen","2016-10-04T00:00:00Z",NA,NA,"DF","m","29245","right"
390,"Tom Behnke","1994-09-21T00:00:00Z",NA,NA,"KF","m","24186","right"
391,"Karen Ellemann","2018-10-01T00:00:00Z",NA,NA,"V","f","25441","right"
392,"Merete Riisager","2016-10-04T00:00:00Z",NA,NA,"LA","f","27820","right"
393,"Mette Reissmann",NA,NA,NA,"S","f","23288","left"
394,"Jeppe Mikkelsen",NA,NA,NA,"RV","m","33270","left"
395,"Kristian Thulesen Dahl","1994-09-21T00:00:00Z",NA,NA,"DF","m","25414","right"
396,"Marie Krarup","2019-10-30T00:00:00Z","2019-11-15T00:00:00Z",NA,"DF","f","24082","right"
397,"Christian Langballe","2020-06-09T00:00:00Z","2020-06-26T00:00:00Z",NA,"DF","m","24489","right"
398,"Torsten Schack Pedersen",NA,NA,NA,"V","m","27937","right"
399,"Mads Rørvig","2010-10-06T00:00:00Z","2011-09-15T00:00:00Z",NA,"V","m","31239","right"
400,"Hans Kristian Skibby",NA,NA,NA,"DD","m","25221","right"
401,"Brian Mikkelsen",NA,NA,"Det Konservative Folkeparti","KF","m","24138","right"
402,"Troels Ravn","2022-03-01T00:00:00Z","2022-11-01T00:00:00Z",NA,"S","m","22495","left"
403,"Özlem Sara Cekic","2011-10-07T00:00:00Z",NA,NA,"SF","f","27887","left"
404,"Marlene Borst Hansen","2011-10-07T00:00:00Z","2012-03-04T00:00:00Z","Radikale Venstre","RV","f","27244","left"
405,"Finn Sørensen","2016-10-04T00:00:00Z",NA,NA,"EL","m","17164","left"
406,"Martin Geertsen","2019-10-01T00:00:00Z",NA,NA,"V","m","25643","right"
407,"Carsten Hansen","2022-06-01T00:00:00Z",NA,"Socialdemokratiet","S","m","20830","left"
408,"Louise Elholm",NA,NA,NA,"V","f","28424","right"
409,"Peter Christensen","2015-09-30T00:00:00Z","2016-11-28T00:00:00Z",NA,"V","m","27507","right"
410,"Steen Gade","1994-09-21T00:00:00Z",NA,NA,"SF","m","16536","left"
411,"Mike Legarth","2010-10-06T00:00:00Z","2011-09-15T00:00:00Z",NA,"KF","m","21998","right"
412,"Jesper Petersen",NA,NA,NA,"S","m","29823","left"
413,"René Christensen",NA,NA,NA,"DF","m","25872","right"
414,"Ole Birk Olesen",NA,NA,NA,"LA","m","26654","right"
415,"Sofie Carsten Nielsen","2022-03-01T00:00:00Z","2023-04-30T00:00:00Z",NA,"RV","f","27538","left"
416,"Morten Marinus","2016-10-04T00:00:00Z",NA,NA,"DF","m","28439","right"
417,"Jan E. Jørgensen",NA,NA,NA,"V","m","23792","right"
418,"Anne Sina",NA,NA,NA,"S","f","31870","left"
419,"Margrethe Vestager","1998-03-23T00:00:00Z","2000-12-21T00:00:00Z",NA,"RV","f","24941","left"
420,"Charlotte Dyremose","2002-10-01T00:00:00Z",NA,NA,"KF","f","28407","right"
421,"Trine Pertou Mach",NA,NA,NA,"EL","f","25485","left"
422,"Rosa Lund",NA,NA,NA,"EL","f","31750","left"
423,"Joachim B. Olsen","2016-10-04T00:00:00Z",NA,NA,"LA","m","28276","right"
424,"Lotte Rod",NA,NA,NA,"RV","f","31208","left"
425,"Jens Henrik Thulesen Dahl",NA,NA,NA,"DD","m","22482","right"
426,"Morten Østergaard","2019-10-01T00:00:00Z",NA,NA,"RV","m","27928","left"
427,"Simon Emil Ammitzbøll-Bille","2019-10-01T00:00:00Z",NA,NA,"LA","m","28418","right"
428,"Trine Bramsen",NA,NA,NA,"S","f","29671","left"
429,"Dennis Flydtkjær",NA,NA,NA,"DD","m","28562","right"
430,"Benny Engelbrecht",NA,NA,NA,"S","m","25784","left"
431,"Karina Lorentzen Dehnhardt",NA,NA,NA,"SF","f","26963","left"
432,"Stine Brix","2016-10-04T00:00:00Z","2017-02-28T00:00:00Z",NA,"EL","f","30044","left"
433,"Andreas Steenberg","2021-04-14T00:00:00Z",NA,NA,"RV","m","30519","left"
434,"Kim Christiansen","2016-10-04T00:00:00Z",NA,NA,"DF","m","20712","right"
435,"Hans Christian Schmidt",NA,NA,NA,"V","m","19596","right"
436,"Kim Andersen",NA,NA,NA,"V","m","21110","right"
437,"Preben Bang Henriksen",NA,NA,NA,"V","m","19766","right"
438,"Bertel Haarder","1996-10-01T00:00:00Z",NA,"Venstre","V","m","16322","right"
439,"Sophie Løhde",NA,NA,NA,"V","f","30570","right"
440,"Lene Espersen",NA,NA,NA,"KF","f","24011","right"
441,"Søren Pind",NA,NA,NA,"V","m","25527","right"
442,"John Dyrby Paulsen",NA,NA,NA,"S","m","23204","left"
443,"Christian Friis Bach",NA,NA,NA,"RV","m","24226","left"
444,"Mette Bock","2016-10-04T00:00:00Z",NA,NA,"LA","f","21027","right"
445,"Mette Frederiksen",NA,NA,NA,"S","f","28448","left"
446,"Thomas Danielsen",NA,NA,NA,"V","m","30491","right"
447,"Martin Lidegaard",NA,NA,NA,"RV","m","24453","left"
448,"Helle Thorning-Schmidt","2011-10-03T00:00:00Z","2015-06-28T00:00:00Z",NA,"S","f","24455","left"
449,"Lars Løkke Rasmussen",NA,NA,NA,"M","m","23512","right"
450,"Johanne Schmidt-Nielsen","2016-10-04T00:00:00Z",NA,NA,"EL","f","30734","left"
451,"Anders Samuelsen","2016-11-28T00:00:00Z","2019-06-27T00:00:00Z","Liberal Alliance","LA","m","24685","right"
452,"Lars Barfoed","2005-02-18T00:00:00Z","2006-12-14T00:00:00Z","Det Konservative Folkeparti","KF","m","21005","right"
453,"Ida Auken",NA,NA,NA,"S","f","28602","left"
454,"Per Stig Møller","1994-09-21T00:00:00Z",NA,NA,"KF","m","15580","right"
455,"Mogens Jensen",NA,NA,NA,"S","m","23315","left"
456,"Villum Christensen","2018-10-01T00:00:00Z","2020-09-30T00:00:00Z",NA,"LA","m","19936","right"
457,"Lone Loklindt",NA,NA,NA,"RV","f","22022","left"
458,"Eigil Andersen","2014-10-08T00:00:00Z","2014-10-12T00:00:00Z","Socialistisk Folkeparti","SF","m","19443","left"
459,"Lars Dohn",NA,NA,NA,"EL","m","18348","left"
460,"Jan Johansen","2021-10-06T00:00:00Z",NA,NA,"S","m","20435","left"
461,"Liv Holm Andersen","2011-10-07T00:00:00Z",NA,NA,"RV","f","31905","left"
